start_date;end_date;status;ip_address;progress;duration_in_seconds;finished;recorded_date;response_id;recipient_last_name;recipient_first_name;recipient_email;external_reference;location_latitude;location_longitude;distribution_channel;user_language;q_recaptcha_score;q_relevant_id_duplicate;q_relevant_id_duplicate_score;q_relevant_id_fraud_score;q_relevant_id_last_start_date;intro;gender;age_5;edu;mzam;woj;home_ownership_1;home_ownership_2;home_ownership_3;changed_heating;media_weekly_1;media_weekly_2;media_weekly_3;media_daily_1;media_daily_2;media_daily_3;most_common_soc_med_1;most_common_soc_med_2;most_common_soc_med_3;most_common_soc_med_4;most_common_soc_med_5;most_common_soc_med_6;most_common_soc_med_7;most_common_soc_med_8;most_common_soc_med_9;most_common_soc_med_10;most_common_soc_med_11;active_soc_media;passive_soc_media;q5_eu_attitudes_1;financial_sit_1;financial_sit_2;financial_sit_3;security_1;security_2;security_3;security_4;security_5;security_6;q119_first_click;q119_last_click;q119_page_submit;q119_click_count;q120_first_click;q120_last_click;q120_page_submit;q120_click_count;q121_first_click;q121_last_click;q121_page_submit;q121_click_count;security_freedom_1;security_freedom_2;security_freedom_3;security_freedom_4;security_freedom_5;security_freedom_6;security_freedom_7;att_check_exp;finan_exp;effectiveness_exp;support_exp;acceptability_exp;attention_control;fin_control;effectiveness_contr;support_control;accept_control;nar_1;nar1_end;nar_2;nar2_end;nar_3;nar3_end;nar_4;nar4_end;OLDnar_5;nar5_end;OLDnar_6;nar6_end;OLDnar_7;nar7_end;OLDnar_8;nar8_end;q131;q132;q128_first_click;q128_last_click;q128_page_submit;q128_click_count;q1_sm_2;q1_sm_3;q1_sm_4;q1_sm_5;q1_sm_6;q1_comm;q2_sm_2;q2_sm_3;q2_sm_4;q2_sm_5;q2_sm_6;q2_comm;q3_sm_2;q3_sm_3;q3_sm_4;q3_sm_5;q3_sm_6;q3_comm;q4_sm_2;q4_sm_3;q4_sm_4;q4_sm_5;q4_sm_6;q4_comm;q5_sm_2;q5_sm_3;q5_sm_4;q5_sm_5;q5_sm_6;q5_comm;q6_sm_2;q6_sm_3;q6_sm_4;q6_sm_5;q6_sm_6;q6_comm;q7_sm_2;q7_sm_3;q7_sm_4;q7_sm_5;q7_sm_6;q7_comm;q8_sm_2;q8_sm_3;q8_sm_4;q8_sm_5;q8_sm_6;q8_comm;realistic;credibility;realistic_control;credible_control;political;political_6_text;institution_trust_1;institution_trust_2;institution_trust_3;institution_trust_4;institution_trust_5;sss_1;outro_2_comments;outro_3;q_language;q_terminate_flag;q_total_duration;create_new_field_or_choose_from_dropdown;id;survey_hash;gr;condition;q_ambiguous_text_present;q_ambiguous_text_questions;q_straightlining_count;q_straightlining_percentage;q_straightlining_questions;q_unanswered_percentage;q_unanswered_questions;att_merged;realist_merged;credib_merged;finan_burden_merged;effec_merged;support_merged;accep_merged;finan_sit_avg;trait_secur_avg;trait_free_avg;state_secur_avg;state_free_avg;antim_narr_intr;antim_narrat_endors_avg;main_narrat_endors_avg;engagement_total;relat_antim_interest;total_soc_media_mainstreamness;main_endorsement_soc_media;antim_endorsement_soc_media;Nar_5correct;nar_6correct;nar_7correct;nar_8correct;Mainstream_Interest_avg
12/15/2024 13:14:25;12/15/2024 13:28:28;0;109.243.67.30;100;843;1;12/15/2024 13:28:29;R_2WI2837JGMr1WAx; ; ; ; ;50.0645;19.9863;anonymous;PL;1; ;0;0;10/14/1582 0:00:00;1;2;32;4;1;7; ;1; ;2;8;1;8;7;2;2;1; ; ;1; ; ; ;1; ; ; ;3;6;70;5;5;5;2;6;3;4;5;2; ; ; ; ; ; ; ; ;7,83;133,284;137,297;27;1;1;1;1;1;1;1; ; ; ; ; ;3;1;7;7;7;4;4;2;1;4;4;2;5;6;4;6;4;6;4;1;7; ; ;0;0;17,24;0;0;0;0;0;0; ;0;0;0;0;0; ;0;0;0;0;0; ;0;0;0;0;0; ;0;0;0;0;0; ;0;0;0;0;0; ;0;0;0;0;0; ;1;0;0;0;0; ; ; ;7;7;5; ;6;2;4;4;4;10; ;4;PL; ;843; ;0d9d3eefbfd72c2e56a21b8e85de125f;gtj3cm;3;control;0; ;3;,428571428571429;QID22, QID33, QID9;,150943396226415;QID56, QID64, QID63, QID66, QID43, QID62, QID65, QID49;3;7;7;1;7;7;7;5;3,66666666666667;3,66666666666667;1;1;3;3,5;4,75;1;-1,75;1;1;0;4;4;4;1;3,25
12/15/2024 15:29:40;12/15/2024 15:44:30;0;37.31.36.16;100;889;1;12/15/2024 15:44:30;R_2QLVkUhsySPEIZX; ; ; ; ;50.0594;19.9558;anonymous;PL;1; ;0;0;10/14/1582 0:00:00;1;1;48;3;2;6; ;1; ;2;3;10;10;2;1;1; ; ; ; ; ; ;1; ; ; ; ;1;2;80;3;3;2;5;4;1;4;4;3; ; ; ; ; ; ; ; ;4,167;82,674;122,303;17;2;2;2;3;2;3;3; ; ; ; ; ;3;1;4;3;3;5;4;3;3;2;2;1;1;6;4;5;3;1;1;5;3; ; ;0;0;16,676;0;0;0;0;1;0; ;0;0;0;0;1; ;0;0;0;0;1; ;0;0;0;0;1; ;0;0;0;0;1; ;0;0;0;0;1; ;0;0;0;0;1; ;0;0;0;0;1; ; ; ;2;2;1; ;4;2;2;4;3;7; ;4;PL; ;889; ;69bb19cbbdbd88cd5387d70a56da27f5;gtj3cm;3;control;0; ;1;,142857142857143;QID33;,0188679245283019;QID43;3;2;2;1;4;3;3;2,66666666666667;3,33333333333333;3,66666666666667;2,25;2,66666666666667;2,75;2,5;2,75;8;-1,5;-1;-4;3;4;3;1;3;2,75
12/15/2024 15:45:41;12/15/2024 16:07:58;0;213.134.171.111;100;1337;1;12/15/2024 16:07:58;R_2e0qBbjn2XWYrUR; ; ; ; ;52.2372;21.0123;anonymous;PL;1; ;0;0;10/14/1582 0:00:00;1;1;33;3;2;7; ;1; ;2;7;1;5;6;2;2;1; ;1;1; ;1;1;1; ; ; ;4;5;58;2;2;2;4;2;4;5;5;6; ; ; ; ; ; ; ; ;34,9;241,459;243,057;7;4;3;3;2;2;2;2; ; ; ; ; ;3;1;7;7;7;4;3;3;4;4;4;2;4;9;6;7;4;7;6;6;4; ; ;0;0;16,836;0;0;0;0;0;0; ;0;0;0;0;0; ;0;0;0;0;0; ;1;0;0;0;0; ;1;1;0;1;0; ;1;0;0;1;0; ;1;1;1;0;0;Popieram, mniej wypadków w szczególności. w Innych krajach dobrze to funkcjonuje. Odciążyło by to chociaż naszą służbę zdrowia.;1;0;0;0;0; ; ; ;6;6;1; ;4;3;3;4;3;3; ;4;PL; ;1337; ;05f488a3913ac61bb98c50d3c34e16ee;gtj3cm;3;control;0; ;2;,285714285714286;QID33, QID9;,0740740740740741;QID43, QID49, QID56, QID62;3;6;6;1;7;7;7;2;3,33333333333333;5,33333333333333;3;2;3,25;3,75;5;10;-4;3;4;-1;7;5;5;4;5,25
12/15/2024 18:12:05;12/15/2024 18:25:58;0;31.60.252.250;100;832;1;12/15/2024 18:25:58;R_8KcGxmNOg3i6pDH; ; ; ; ;53.7639;20.4554;anonymous;PL;1; ;0;0;10/14/1582 0:00:00;1;2;41;4;4;1; ;1; ;2;9;1;10;4;1;1;1; ; ; ; ; ; ; ; ; ; ;2;4;52;3;2;3;4;3;5;4;4;5;14,111;89,121;132,329;11; ; ; ; ; ; ; ; ;6;6;6;5;6;5;6;2;4;4;2;2; ; ; ; ; ;5;5;5;5;5;5;6;5;6;5;6;5;8;5;7;5; ; ;0;0;16,792;0;0;0;0;1;0; ;0;0;0;0;0; ;0;0;0;0;0; ;0;0;0;1;0; ;0;0;0;0;0; ;0;0;0;0;0; ;1;0;0;0;0; ;1;0;0;0;0; ;4;4; ; ;5; ;4;4;2;4;2;6; ;4;PL; ;832; ;ae3fd3b4c42d68f4b8cdb70847b761fb;gtj3cm;1;obligatory;0; ;1;,142857142857143;QID33;,0943396226415094;QID56, QID64, QID43, QID62, QID65;2;4;4;4;4;2;2;2,66666666666667;4;4,33333333333333;5,75;5,66666666666667;5,25;5;5;4;-1,5;2;2;0;4;4;6;5;4,75
12/15/2024 18:33:37;12/15/2024 18:45:54;0;31.0.75.210;100;736;1;12/15/2024 18:45:55;R_2D7iUTPqnpDU4Pi; ; ; ; ;52.2394;21.0362;anonymous;PL;1; ;0;0;10/14/1582 0:00:00;1;2;25;3;1;9; ;1; ;2;10;1;9;6;1;1;1; ;1; ;1;1; ;1; ; ; ;3;4;54;3;2;1;4;5;3;3;4;4;2,445;123,295;125,101;9; ; ; ; ; ; ; ; ;4;4;4;3;4;5;4;2;5;2;1;1; ; ; ; ; ;1;2;1;1;1;1;2;2;1;1;4;3;1;1;1;1; ; ;0;0;24,234;0;1;0;0;0;0; ;1;0;0;0;0; ;1;0;0;0;0; ;1;0;0;0;0; ;1;0;0;0;0; ;1;1;1;1;1; ;1;0;0;0;0; ;1;0;0;0;0; ;3;3; ; ;7; ;4;4;4;3;5;10; ;4;PL; ;736; ;cddc9ca419e68cacb26c29268431d5f5;gtj3cm;1;obligatory;0; ;1;,142857142857143;QID33;,037037037037037;QID43, QID72;2;3;3;5;2;1;1;2;4;3,66666666666667;3,75;4,33333333333333;1,25;1,5;1,5;12;-,5;-1;3;-4;1;2;1;1;1,25
12/15/2024 18:35:47;12/15/2024 18:50:57;0;37.30.36.26;100;909;1;12/15/2024 18:50:57;R_2RVyNRE5BFIryDx; ; ; ; ;51.787;19.4196;anonymous;PL;1; ;0;0;10/14/1582 0:00:00;1;1;42;2;3;2; ;1; ;2;2;6;9;6;1;1; ; ; ;1; ; ; ; ; ; ; ;2;6;76;1;1;1;1;7;1;4;6;4;6,886;115,778;128,201;18; ; ; ; ; ; ; ; ;7;7;7;7;7;7;7;2;5;4;1;2; ; ; ; ; ;4;6;1;7;1;7;1;4;1;4;1;4;1;2;1;2; ; ;14,456;14,456;16,338;1;0;0;0;0;0; ;0;0;0;0;0; ;1;0;0;0;0; ;0;0;0;0;0; ;0;0;0;0;0; ;0;0;0;0;0; ;0;0;0;0;0; ;0;0;0;0;0; ;4;5; ; ;1; ;4;1;1;1;1;1; ;4;PL; ;909; ;0c04a3aa079b4faeb2fdfd698aa7c2ba;gtj3cm;1;obligatory;0; ;3;,428571428571429;QID22, QID33, QID9;,150943396226415;QID56, QID64, QID67, QID63, QID66, QID43, QID65, QID49;2;4;5;5;4;1;2;1;3;4,66666666666667;7;7;1,75;6;3;1;,75;-1;0;-1;1;1;1;1;1
12/15/2024 18:37:25;12/15/2024 18:55:00;0;83.4.104.228;100;1054;1;12/15/2024 18:55:01;R_82GAGNNkEqbzWrj; ; ; ; ;50.8803;15.9202;anonymous;PL;1; ;0;0;10/14/1582 0:00:00;1;2;42;4;3;1; ;1; ;2;5;3;6;4;1;1; ; ;1; ; ; ;1; ; ; ; ;2;4;85;3;3;1;5;6;4;5;5;5; ; ; ; ;4,621;120,083;122,064;37; ; ; ; ;7;7;7;6;7;7;7;1;5;4;4;4; ; ; ; ; ;2;2;1;1;4;4;4;3;7;5;7;3;7;4;7;4; ; ;0;0;18,828;0;0;0;0;0;1; ;0;0;1;0;0;Iluzja;0;0;0;0;0; ;0;0;0;0;0; ;1;0;0;0;0; ;0;0;0;0;1; ;1;0;0;0;0; ;1;0;0;0;0; ;3;2; ; ;1; ;6;4;2;5;5;5;.;4;PL; ;1054; ;4d282f2fc098e426c08df943ea75f338;gtj3cm;2;voluntary;0; ;1;,142857142857143;QID33;,037037037037037;QID62, QID63;1;3;2;5;4;4;4;2,33333333333333;5;5;6,75;7;2,75;2,5;4;6;-4,25;3;2;1;5;5;5;5;5
12/15/2024 18:43:17;12/15/2024 18:57:45;0;31.61.183.161;100;867;1;12/15/2024 18:57:45;R_8j7CvPLntSEjI2b; ; ; ; ;52.2586;21.0632;anonymous;PL;1; ;0;0;10/14/1582 0:00:00;1;2;33;4;2;7; ;1; ;2;9;1;9;5;2;3;1; ;1; ; ;1; ;1; ; ; ;5;4;51;3;3;2;7;7;6;7;7;7;8,643;181,718;182,317;47; ; ; ; ; ; ; ; ;5;5;5;5;6;7;7;2;4;3;3;3; ; ; ; ; ;5;5;5;6;5;6;6;5;7;4;6;4;9;6;5;3; ; ;0;0;16,801;0;1;0;0;0;0; ;1;0;0;0;0; ;1;0;0;0;0; ;0;0;0;0;0; ;0;0;0;0;0; ;0;0;0;0;0; ;1;0;0;0;0; ;0;0;0;0;0; ;2;4; ; ;5; ;5;3;2;1;1;5; ;4;PL; ;867; ;1b67710f47c15b8819a063e10ee58b4f;gtj3cm;1;obligatory;0; ;1;,142857142857143;QID33;,0943396226415094;QID64, QID67, QID63, QID43, QID65;2;2;4;4;3;3;3;2,66666666666667;6,66666666666667;7;5;6,66666666666667;5,25;5,5;4,25;4;-1,5;-2;1;-3;5;4;7;3;4,75
12/15/2024 18:47:45;12/15/2024 19:02:38;0;91.150.180.96;100;892;1;12/15/2024 19:02:38;R_8zusMOqksWpJtGa; ; ; ; ;50.0361;22.0139;anonymous;PL;1; ;0;0;10/14/1582 0:00:00;1;2;27;4;1;9; ;1; ;2;8;1;9;6;1;1;1; ;1;1; ; ;1;1; ; ; ;2;6;51;3;3;1;5;6;6;5;6;6; ; ; ; ; ; ; ; ;1,54;127,317;128,801;52;2;1;1;1;1;1;1; ; ; ; ; ;3;1;4;4;5;2;4;1;5;3;6;1;6;5;4;5;4;6;5;4;2; ; ;0;0;16,414;0;0;0;0;0;0; ;0;0;0;0;0; ;0;0;0;0;0; ;0;0;0;0;0; ;0;0;0;0;0; ;0;0;0;0;0; ;1;0;0;0;0; ;0;0;0;0;0; ; ; ;6;6;7; ;3;2;5;3;1;6; ;4;PL; ;892; ;8e1e0d0cac13dab65ce02db2e992b959;gtj3cm;3;control;0; ;1;,142857142857143;QID33;,150943396226415;QID56, QID64, QID67, QID63, QID43, QID62, QID65, QID49;3;6;6;1;4;4;5;2,33333333333333;5,66666666666667;5,66666666666667;1,25;1;1,75;5,25;3,75;1;-3,25;1;1;0;3;3;4;2;3
12/15/2024 18:46:49;12/15/2024 19:03:55;0;77.253.196.35;100;1026;1;12/15/2024 19:03:55;R_8MGd5hHpH9ZSUUA; ; ; ; ;52.1915;21.0078;anonymous;PL;1; ;0;0;10/14/1582 0:00:00;1;2;60;3;3;3; ;1; ;2;1;1;9;4;1;1;1; ; ; ; ; ; ;1; ; ; ;4;6;91;3;3;2;6;7;6;7;7;7;0;0;126,646;0; ; ; ; ; ; ; ; ;4;4;4;4;4;4;4;2;2;4;7;7; ; ; ; ; ;7;3;7;4;7;5;7;4;9;7;6;7;6;6;9;7; ; ;0;0;26,002;0;0;0;0;1;0; ;0;0;0;1;0; ;0;0;0;0;0; ;0;0;0;0;0; ;1;0;0;1;0; ;1;0;0;0;0; ;1;0;0;0;0; ;1;0;0;1;0; ;4;7; ; ;1; ;6;5;5;6;6;5;ok;4;PL; ;1026; ;dc6e0000bb348040ddef96bea208dff3;gtj3cm;1;obligatory;0; ;2;,285714285714286;QID22, QID33;,0377358490566038;QID62, QID63;2;4;7;2;4;7;7;2,66666666666667;6,33333333333333;7;4;4;7;4;6,75;8;-,5;4;4;0;7;4;4;7;5,5
