"";"ssec ";"sfree ";"tsec ";"tfree ";"institution_trust_5 ";"active_soc_media ";"finan ";"micronarratives ";"mainstream ";"micronarratives_ag ";"mainstream_ag ";"mainstreamlikes ";"microlikes ";"mainstreamdislikes ";"microdislikes ";"man_eff ";"man_acc "
"ssec";" 1.00   ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"sfree";" 0.87***";" 1.00   ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"tsec";" 0.16*  ";" 0.15   ";" 1.00   ";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"tfree";" 0.10   ";" 0.05   ";" 0.74***";" 1.00   ";"";"";"";"";"";"";"";"";"";"";"";"";""
"institution_trust_5";"-0.32***";"-0.35***";"-0.09   ";"-0.09   ";" 1.00   ";"";"";"";"";"";"";"";"";"";"";"";""
"active_soc_media";" 0.14   ";" 0.10   ";" 0.03   ";" 0.02   ";"-0.03   ";" 1.00   ";"";"";"";"";"";"";"";"";"";"";""
"finan";"-0.25***";"-0.21** ";"-0.26***";"-0.19*  ";" 0.20** ";"-0.14   ";" 1.00   ";"";"";"";"";"";"";"";"";"";""
"micronarratives";" 0.13   ";" 0.16*  ";" 0.13   ";" 0.15*  ";"-0.04   ";" 0.09   ";" 0.16*  ";" 1.00   ";"";"";"";"";"";"";"";"";""
"mainstream";"-0.12   ";"-0.10   ";" 0.11   ";" 0.21** ";" 0.30***";"-0.03   ";" 0.20*  ";" 0.48***";" 1.00   ";"";"";"";"";"";"";"";""
"micronarratives_ag";" 0.31***";" 0.35***";" 0.17*  ";" 0.15*  ";"-0.29***";"-0.00   ";"-0.09   ";" 0.56***";" 0.04   ";" 1.00   ";"";"";"";"";"";"";""
"mainstream_ag";"-0.22** ";"-0.22** ";" 0.15   ";" 0.22** ";" 0.43***";"-0.10   ";" 0.23** ";" 0.20** ";" 0.70***";"-0.06   ";" 1.00   ";"";"";"";"";"";""
"mainstreamlikes";"-0.15   ";"-0.11   ";" 0.03   ";" 0.03   ";" 0.37***";" 0.08   ";" 0.13   ";" 0.16*  ";" 0.36***";"-0.15*  ";" 0.40***";" 1.00   ";"";"";"";"";""
"microlikes";" 0.32***";" 0.35***";" 0.07   ";" 0.03   ";"-0.34***";" 0.17*  ";"-0.15*  ";" 0.31***";"-0.18*  ";" 0.45***";"-0.29***";" 0.05   ";" 1.00   ";"";"";"";""
"mainstreamdislikes";" 0.21** ";" 0.18*  ";" 0.01   ";"-0.04   ";"-0.23** ";"-0.02   ";"-0.10   ";" 0.00   ";"-0.35***";" 0.12   ";"-0.42***";"-0.27***";" 0.39***";" 1.00   ";"";"";""
"microdislikes";"-0.20** ";"-0.14   ";" 0.01   ";" 0.02   ";" 0.27***";"-0.02   ";" 0.09   ";"-0.11   ";" 0.14   ";"-0.32***";" 0.15   ";" 0.38***";"-0.26***";" 0.14   ";" 1.00   ";"";""
"man_eff";"-0.39***";"-0.43***";"-0.03   ";"-0.07   ";" 0.41***";"-0.01   ";" 0.18*  ";"-0.04   ";" 0.23** ";"-0.21** ";" 0.41***";" 0.27***";"-0.25** ";"-0.22** ";" 0.22** ";" 1.00   ";""
"man_acc";"-0.56***";"-0.60***";"-0.07   ";"-0.00   ";" 0.52***";"-0.03   ";" 0.18*  ";"-0.01   ";" 0.31***";"-0.29***";" 0.50***";" 0.29***";"-0.31***";"-0.27***";" 0.20** ";" 0.66***";" 1.00   "
