"";"ssec ";"sfree ";"tsec ";"tfree ";"institution_trust_5 ";"active_soc_media ";"finan ";"micronarratives ";"mainstream ";"micronarratives_ag ";"mainstream_ag ";"mainstreamlikes ";"microlikes ";"mainstreamdislikes ";"microdislikes ";"man_acc ";"man_eff "
"ssec";" 1.00   ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"sfree";" 0.84***";" 1.00   ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"tsec";"-0.04   ";"-0.03   ";" 1.00   ";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"tfree";"-0.10   ";"-0.04   ";" 0.68***";" 1.00   ";"";"";"";"";"";"";"";"";"";"";"";"";""
"institution_trust_5";"-0.15*  ";"-0.20** ";" 0.09   ";" 0.10   ";" 1.00   ";"";"";"";"";"";"";"";"";"";"";"";""
"active_soc_media";" 0.17*  ";" 0.12   ";" 0.06   ";" 0.03   ";" 0.01   ";" 1.00   ";"";"";"";"";"";"";"";"";"";"";""
"finan";"-0.19*  ";"-0.14   ";"-0.16*  ";"-0.01   ";" 0.25***";"-0.11   ";" 1.00   ";"";"";"";"";"";"";"";"";"";""
"micronarratives";"-0.04   ";" 0.06   ";" 0.12   ";" 0.20** ";"-0.01   ";" 0.17*  ";" 0.17*  ";" 1.00   ";"";"";"";"";"";"";"";"";""
"mainstream";"-0.20** ";"-0.13   ";" 0.20** ";" 0.25***";" 0.34***";" 0.16*  ";" 0.12   ";" 0.57***";" 1.00   ";"";"";"";"";"";"";"";""
"micronarratives_ag";"-0.08   ";" 0.01   ";"-0.00   ";" 0.12   ";"-0.07   ";" 0.01   ";" 0.16*  ";" 0.65***";" 0.26***";" 1.00   ";"";"";"";"";"";"";""
"mainstream_ag";"-0.23** ";"-0.20** ";" 0.21** ";" 0.22** ";" 0.38***";" 0.03   ";" 0.21** ";" 0.33***";" 0.79***";" 0.21** ";" 1.00   ";"";"";"";"";"";""
"mainstreamlikes";"-0.10   ";"-0.10   ";" 0.17*  ";" 0.11   ";" 0.09   ";" 0.08   ";"-0.02   ";" 0.18*  ";" 0.40***";" 0.05   ";" 0.47***";" 1.00   ";"";"";"";"";""
"microlikes";" 0.12   ";" 0.19*  ";" 0.04   ";" 0.07   ";"-0.31***";" 0.06   ";" 0.01   ";" 0.30***";"-0.01   ";" 0.34***";"-0.15*  ";" 0.17*  ";" 1.00   ";"";"";"";""
"mainstreamdislikes";" 0.14   ";" 0.15*  ";"-0.14   ";"-0.08   ";"-0.20** ";"-0.06   ";"-0.16*  ";"-0.06   ";"-0.45***";"-0.01   ";"-0.56***";"-0.41***";" 0.23** ";" 1.00   ";"";"";""
"microdislikes";" 0.06   ";" 0.07   ";"-0.01   ";"-0.10   ";" 0.10   ";"-0.01   ";"-0.13   ";"-0.09   ";" 0.01   ";"-0.22** ";"-0.00   ";" 0.15*  ";"-0.24** ";" 0.23** ";" 1.00   ";"";""
"man_acc";"-0.38***";"-0.45***";" 0.14   ";" 0.07   ";" 0.26***";" 0.02   ";" 0.16*  ";" 0.21** ";" 0.40***";" 0.16*  ";" 0.39***";" 0.21** ";"-0.07   ";"-0.26***";"-0.03   ";" 1.00   ";""
"man_eff";"-0.38***";"-0.45***";" 0.14   ";" 0.07   ";" 0.26***";" 0.02   ";" 0.16*  ";" 0.21** ";" 0.40***";" 0.16*  ";" 0.39***";" 0.21** ";"-0.07   ";"-0.26***";"-0.03   ";" 1.00***";" 1.00   "
