"","lhs","op","rhs","est","se","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","stateneedsecurity","=~","security_freedom_1",1,0,1,1,1.67707298393012,0.924952765867958,0.924952765867958
"2","stateneedsecurity","=~","security_freedom_2",0.887090309979809,0.0475466811425442,0.793900527356013,0.980280092603605,1.48771519317333,0.852578385323005,0.852578385323005
"3","stateneedsecurity","=~","security_freedom_3",0.983010245784571,0.0416700081633267,0.90133853054896,1.06468196102018,1.64857992613181,0.886580892061479,0.886580892061479
"4","Mainstream","=~","nar5_end",1,0,1,1,1.37471696758147,0.769738991638036,0.769738991638036
"5","Mainstream","=~","nar6_end",0.780229836153412,0.0820362709582115,0.619441699649348,0.941017972657476,1.0725951943734,0.663190162038652,0.663190162038652
"6","Mainstream","=~","nar7_end",0.717218717414658,0.089181113359655,0.54242694712855,0.892010487700765,0.985972740296947,0.54718231429196,0.54718231429196
"7","Mainstream","=~","nar8_end",0.557178834032149,0.0771260011508684,0.406014649504853,0.708343018559446,0.765963197121254,0.495109965352904,0.495109965352904
"8","Micronarratives","=~","nar1_end",1,0,1,1,0.806859893068874,0.485830097588443,0.485830097588443
"9","Micronarratives","=~","nar2_end",1.9155482171305,0.309462826626479,1.30901222238864,2.52208421187237,1.54557902964219,0.790776413558518,0.790776413558518
"10","Micronarratives","=~","nar3_end",1.50922464400159,0.232375981877254,1.05377608865004,1.96467319935314,1.21773283487603,0.627179770613324,0.627179770613324
"11","Micronarratives","=~","nar4_end",1.06805566781292,0.184001832389009,0.707418703241085,1.42869263238475,0.861771281923135,0.5134324143881,0.5134324143881
"12","traitneedsecurity","=~","security_1",1,0,1,1,1.16710570552675,0.777781895030022,0.777781895030022
"13","traitneedsecurity","=~","security_2",0.739882792776908,0.104099798435925,0.535850937044616,0.9439146485092,0.863521428870997,0.61539199092954,0.61539199092954
"14","traitneedsecurity","=~","security_3",0.902434274409057,0.105251949067146,0.696144244934807,1.10872430388331,1.05323619052571,0.703141326821306,0.703141326821306
"15","interaction","=~","security_freedom_1.active_soc_media",1,0,1,1,2.29747376830146,0.883371590648371,0.883371590648371
"16","interaction","=~","security_freedom_2.active_soc_media",0.946102570564569,0.0672040463995154,0.81438506000616,1.07782008112298,2.17364583799468,0.871519217388202,0.871519217388202
