"","lhs","op","rhs","est","se","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","stateneedsecurity","=~","security_freedom_1",1,0,1,1,1.67899650602821,0.926435531758717,0.926435531758717
"2","stateneedsecurity","=~","security_freedom_2",0.887319479048627,0.047729892604723,0.793770608557405,0.980868349539848,1.48980630505342,0.85410703728889,0.85410703728889
"3","stateneedsecurity","=~","security_freedom_3",0.977926086860562,0.0426122854688908,0.894407542042596,1.06144463167853,1.64193448299273,0.883375913727379,0.883375913727379
"4","Mainstream","=~","Nar_5correct",1,0,1,1,1.42800604440416,0.807484264184891,0.807484264184891
"5","Mainstream","=~","nar_6correct",0.926558124306312,0.0615238697404746,0.805973555425448,1.04714269318718,1.32313060200119,0.79565794441509,0.79565794441509
"6","Mainstream","=~","nar_7correct",0.833079798195459,0.0658873940136036,0.703942878893596,0.962216717497322,1.18964298729411,0.667262196810114,0.667262196810114
"7","Mainstream","=~","nar_8correct",0.899094154410804,0.0639079087483678,0.773836954936731,1.02435135388488,1.28391188698707,0.732541726843471,0.732541726843471
"8","Micronarratives","=~","nar_1",1,0,1,1,1.08210307311998,0.640488640927201,0.640488640927201
"9","Micronarratives","=~","nar_2",1.30076567962268,0.126866394093936,1.0521121163501,1.54941924289525,1.4075625393287,0.722457689562915,0.722457689562915
"10","Micronarratives","=~","nar_3",1.34457130454251,0.127269010380059,1.09512862784954,1.59401398123548,1.45496474067439,0.760421870185776,0.760421870185776
"11","Micronarratives","=~","nar_4",0.954721017667119,0.118798770068515,0.721879706925174,1.18756232840906,1.03310654718983,0.5809334669201,0.5809334669201
"12","traitneedsecurity","=~","security_1",1,0,1,1,1.16905761224884,0.779055909554577,0.779055909554577
"13","traitneedsecurity","=~","security_2",0.740990630794355,0.108090046859657,0.52913803186218,0.95284322972653,0.866260737535211,0.6173314210902,0.6173314210902
"14","traitneedsecurity","=~","security_3",0.897160701245021,0.109571080370899,0.682405329970917,1.11191607251913,1.048832547201,0.700174528473152,0.700174528473152
"15","interaction","=~","security_freedom_1.active_soc_media",1,0,1,1,2.29679942398704,0.88311306501676,0.88311306501676
"16","interaction","=~","security_freedom_2.active_soc_media",0.946165472452269,0.0671871676636739,0.814481043608214,1.07784990129632,2.1731523121248,0.871322075548055,0.871322075548055
"17","interaction","=~","security_freedom_3.active_soc_media",1.01775728430626,0.0668574168792202,0.886719155123603,1.14879541348891,2.33758434435322,0.890662878697229,0.890662878697229
"18","Micronarratives","~","stateneedsecurity",0.0868284506162334,0.0469707956320819,-0.00523261714783842,0.178889518380305,0.134723455491319,0.134723455491319,0.134723455491319
"19","Micronarratives","~","traitneedsecurity",0.120824198340422,0.0730412727638896,-0.0223340656617679,0.263982462342612,0.130533266490476,0.130533266490476,0.130533266490476
"20","Micronarratives","~","active_soc_media",0.0464728083272734,0.0470326333323582,-0.0457094591022267,0.138655075756774,0.0429467483104731,0.0612388426125339,0.0429467483104731
"21","Micronarratives","~","interaction",0.0416115798307037,0.0355173184208344,-0.0280010851015728,0.11122424476298,0.0883219491381611,0.0883219491381611,0.0883219491381611
"22","Mainstream","~","stateneedsecurity",-0.115202751204932,0.0554345202682472,-0.223852414430952,-0.00655308797891191,-0.135451119073257,-0.135451119073257,-0.135451119073257
"23","Mainstream","~","traitneedsecurity",0.287544059292129,0.092907757629171,0.105448200454577,0.46963991812968,0.235402064780936,0.235402064780936,0.235402064780936
