"","lhs","op","rhs","label","est","se","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","needfreedom","=~","security_freedom_4","",1,0,1,1,1.43700757799289,0.811649040972203,0.811649040972203
"2","needfreedom","=~","security_freedom_5","",1.17119339044544,0.0698446626865544,1.04613389354927,1.32288603451172,1.68301377736528,0.902363433136066,0.902363433136066
"3","needfreedom","=~","security_freedom_6","",1.14570074073867,0.0814329682894363,1.00415104103823,1.32501643295307,1.64638064655354,0.884343352386569,0.884343352386569
"4","likeMainstream","=~","mainstreamlikes","",1,0,1,1,1.4043115310389,1,1
"5","likeMicronarratives","=~","microlikes","",1,0,1,1,1.34772702460643,1,1
"6","dislikeMainstream","=~","mainstreamdislikes","",1,0,1,1,0.803115847319636,1,1
"7","dislikeMicronarratives","=~","microdislikes","",1,0,1,1,1.05859673959199,1,1
"8","traitneedfreedom","=~","security_4","",1,0,1,1,1.23724105022727,0.84879513139167,0.84879513139167
"9","traitneedfreedom","=~","security_5","",1.1231042923617,0.0474509483869401,1.03580811302555,1.22165892460487,1.38955073419635,0.945887299146382,0.945887299146382
"10","traitneedfreedom","=~","security_6","",1.11593264059756,0.046109534676109,1.03138177765092,1.21354076257707,1.38067767223581,0.920236842821288,0.920236842821288
"11","likeMicronarratives","~","needfreedom","a1",0.174400107523417,0.0559680023989712,0.0659602163550133,0.285190673649028,0.185953291384887,0.185953291384887,0.185953291384887
"12","likeMicronarratives","~","traitneedfreedom","",0.0636694672006415,0.0634430260677664,-0.0608506499512597,0.188178646569267,0.0584498767394953,0.0584498767394953,0.0584498767394953
"13","likeMicronarratives","~","gr_1","",-0.196706362856594,0.141764256942801,-0.481148581350336,0.0831315551763075,-0.14595415782661,-0.072977078913305,-0.14595415782661
"14","likeMicronarratives","~","active_soc_media","c1",0.156817785621678,0.0544724676086146,0.0491415053638131,0.26466675516032,0.116357231663788,0.165916783069723,0.058178615831894
"15","likeMainstream","~","needfreedom","a2",-0.163278726198997,0.0605704733158213,-0.28137642514001,-0.0466578045013943,-0.167080282178845,-0.167080282178845,-0.167080282178845
"16","likeMainstream","~","traitneedfreedom","",0.0916214053437209,0.0632281178550575,-0.0294676437814314,0.217677145354456,0.0807212368945675,0.0807212368945675,0.0807212368945675
"17","likeMainstream","~","gr_1","",-0.0848581170989673,0.149669862162035,-0.378801488592832,0.207391174126764,-0.0604268463395654,-0.0302134231697827,-0.0604268463395654
"18","likeMainstream","~","active_soc_media","c2",0.121123773044157,0.0554754892609985,0.00878688206655736,0.225603271522865,0.0862513554628087,0.122988036318554,0.0431256777314044
"19","dislikeMicronarratives","~","needfreedom","a3",-0.111099888074591,0.0478968748274653,-0.209319860104381,-0.0212099468748685,-0.150814162850042,-0.150814162850042,-0.150814162850042
"20","dislikeMicronarratives","~","traitneedfreedom","",0.0263908017299166,0.0492502682638268,-0.0702306375859969,0.121793969519643,0.0308444018647238,0.0308444018647238,0.0308444018647238
"21","dislikeMicronarratives","~","gr_1","",0.120564549511302,0.120489881702671,-0.11155833052421,0.354282209134953,0.113890913321508,0.056945456660754,0.113890913321508
"22","dislikeMicronarratives","~","active_soc_media","c3",0.0361935878888636,0.04208664021377,-0.0445997202986207,0.120749974235707,0.0341901562088823,0.0487526271441408,0.0170950781044412
"23","dislikeMainstream","~","needfreedom","a4",0.113529976429082,0.030594467424137,0.0528180081642912,0.173439553235296,0.20313811139754,0.20313811139754,0.20313811139754
"24","dislikeMainstream","~","traitneedfreedom","",-0.0322882680490784,0.0327118882288219,-0.0963725042702701,0.0317516895130043,-0.0497417287983886,-0.0497417287983886,-0.0497417287983886
"25","dislikeMainstream","~","gr_1","",-0.035474907436245,0.0873216385936513,-0.204018567502909,0.137313105623143,-0.0441715943654218,-0.0220857971827109,-0.0441715943654218
"26","dislikeMainstream","~","active_soc_media","c4",0.00609909373775548,0.0314329986274116,-0.0529814085376132,0.0696586052539534,0.00759428886643308,0.0108288927160247,0.00379714443321654
"27","institution_trust_5","~","likeMicronarratives","b1",-0.213372657367737,0.0756343697346656,-0.359063177921382,-0.0593056075431644,-0.287568096646587,-0.165841615519771,-0.165841615519771
"28","institution_trust_5","~","likeMainstream","b2",0.433192475414464,0.0786282161643909,0.272002488251267,0.582950558824352,0.608337188383816,0.350830371236611,0.350830371236611
"29","institution_trust_5","~","dislikeMicronarratives","b3",0.0990226535330809,0.094924587457041,-0.0835457227576518,0.288617085550575,0.104825058175866,0.0604530099046578,0.0604530099046578
"30","institution_trust_5","~","dislikeMainstream","b4",-0.190672122093809,0.126365078868268,-0.44336307383369,0.0487136543616624,-0.153131802895602,-0.0883116933895223,-0.0883116933895223
"31","needfreedom","~","gr_1","",0.619849933180783,0.159572874912337,0.305129586933722,0.93292747755711,0.431347713591423,0.215673856795712,0.431347713591423
"32","institution_trust_5","~","gr_1","",-0.0720205426778004,0.170778240478467,-0.408941315504239,0.256999505491167,-0.0720205426778004,-0.0207672604986079,-0.0415345209972159
"33","institution_trust_5","~","needfreedom","",-0.144488606206741,0.0713831036532466,-0.287705082123058,-0.00450063039373136,-0.207631222052717,-0.119741715785271,-0.119741715785271
"34","institution_trust_5","~","active_soc_media","",0.0310533428104985,0.0643925774699718,-0.0955931775177845,0.157504101430106,0.0310533428104985,0.0255363083065379,0.00895429047769419
"35","likeMainstream","~~","dislikeMicronarratives","",0.439662341248002,0.0820981311401886,0.269774528819726,0.589840088407081,0.307903856085861,0.307903856085861,0.307903856085861
"36","likeMicronarratives","~~","dislikeMainstream","",0.260748088653019,0.0710720621005173,0.122919014718159,0.402482774412648,0.25485099395984,0.25485099395984,0.25485099395984
"37","likeMainstream","~~","likeMicronarratives","",0.378768980240976,0.0977367559225132,0.180033738123252,0.564651872155412,0.213007674546431,0.213007674546431,0.213007674546431
"38","dislikeMainstream","~~","dislikeMicronarratives","",0.118974780424706,0.0624504829026236,0.00318245610881458,0.250247388636432,0.144808856243609,0.144808856243609,0.144808856243609
"39","likeMainstream","~~","dislikeMainstream","",-0.294899540498719,0.064531944135829,-0.424075464998027,-0.171762901355812,-0.274508873379588,-0.274508873379588,-0.274508873379588
"40","likeMicronarratives","~~","dislikeMicronarratives","",-0.326750800300677,0.0643869263435278,-0.453077609314146,-0.20087736753222,-0.240267719443471,-0.240267719443471,-0.240267719443471
"41","needfreedom","~~","active_soc_media","",0.00884917507082955,0.121245306794711,-0.224200934040484,0.257060040789381,0.00630647741303662,0.00442272469218972,0.00442272469218972
"42","needfreedom","~~","traitneedfreedom","",0.059065966128325,0.109357457603005,-0.156151122214509,0.270210724270978,0.0340225646866828,0.0340225646866828,0.0340225646866828
"43","traitneedfreedom","~~","active_soc_media","",0.148906067668809,0.108523658136165,-0.0649580479401756,0.36808278843089,0.120353319703914,0.0844036320087608,0.0844036320087608
"44","security_freedom_4","~~","security_freedom_4","",1.0696050909554,0.195002466083559,0.697632665389261,1.44550258258372,1.0696050909554,0.341225834288903,0.341225834288903
"45","security_freedom_5","~~","security_freedom_5","",0.646127694345034,0.19685492429711,0.286818230845014,1.05219483816969,0.646127694345034,0.185740234538892,0.185740234538892
"46","security_freedom_6","~~","security_freedom_6","",0.755351877587353,0.161170049963615,0.456886764265691,1.08821696444331,0.755351877587353,0.217936835089685,0.217936835089685
"47","mainstreamlikes","~~","mainstreamlikes","",0,0,0,0,0,0,0
"48","microlikes","~~","microlikes","",0,0,0,0,0,0,0
"49","mainstreamdislikes","~~","mainstreamdislikes","",0,0,0,0,0,0,0
"50","microdislikes","~~","microdislikes","",0,0,0,0,0,0,0
"51","security_4","~~","security_4","",0.593960338654445,0.0799297728771233,0.444664025646179,0.754447019977227,0.593960338654445,0.279546824925797,0.279546824925797
"52","security_5","~~","security_5","",0.227241120580766,0.0556401049954921,0.119930278296526,0.340097603573047,0.227241120580766,0.105297217313563,0.105297217313563
"53","security_6","~~","security_6","",0.344780348001772,0.0610279089709217,0.230191457299376,0.467868152995487,0.344780348001772,0.153164153114309,0.153164153114309
"54","institution_trust_5","~~","institution_trust_5","",2.31991071720469,0.162357704418619,1.95191379509703,2.5886229701441,2.31991071720469,0.771572792145253,0.771572792145253
"55","active_soc_media","~~","active_soc_media","",2.03326449552933,0.131994091767695,1.77436537767414,2.29274022210732,2.03326449552933,1,1
"56","needfreedom","~~","needfreedom","",1.96893729429294,0.266548719231926,1.45821829468574,2.51229472252413,0.953484787494863,0.953484787494863,0.953484787494863
"57","likeMainstream","~~","likeMainstream","",1.86707627406378,0.0933992940358325,1.65785342810441,2.02543864003311,0.946749613107632,0.946749613107632,0.946749613107632
"58","likeMicronarratives","~~","likeMicronarratives","",1.6935430737555,0.103985124680365,1.46390296899701,1.87141191251963,0.932378763491094,0.932378763491094,0.932378763491094
"59","dislikeMainstream","~~","dislikeMainstream","",0.618120798197641,0.0888072278326659,0.448157409374043,0.790707149367217,0.958334152446631,0.958334152446631,0.958334152446631
"60","dislikeMicronarratives","~~","dislikeMicronarratives","",1.09205929708828,0.107842451688795,0.874871438097475,1.29271112438591,0.974507344074777,0.974507344074777,0.974507344074777
"61","traitneedfreedom","~~","traitneedfreedom","",1.53076541636748,0.15616674633215,1.23266076049644,1.84504938359972,1,1,1
"62","gr_1","~~","gr_1","",0.25,0,0.25,0.25,0.25,1,0.25
"63","security_freedom_4","~1","","",4.84096312280485,0.130081262406076,4.58441907486736,5.09587039987277,4.84096312280485,2.73426747094425,2.73426747094425
"64","security_freedom_5","~1","","",4.76423739256145,0.142843196441378,4.47620023690461,5.03798124467628,4.76423739256145,2.55439002796344,2.55439002796344
"65","security_freedom_6","~1","","",4.86089559985749,0.142409045019564,4.58230324755733,5.13709629392563,4.86089559985749,2.61100051156322,2.61100051156322
"66","mainstreamlikes","~1","","",1.78864914289387,0.197273971445444,1.41009471824146,2.18091995626604,1.78864914289387,1.27368401053479,1.27368401053479
"67","microlikes","~1","","",0.906716413679979,0.191060598885321,0.533950637264551,1.28008461736189,0.906716413679979,0.67277452861403,0.67277452861403
"68","mainstreamdislikes","~1","","",0.378744736832121,0.108351362306774,0.173698699173531,0.591105532465512,0.378744736832121,0.47159415182276,0.47159415182276
"69","microdislikes","~1","","",0.583258748484721,0.141453360149692,0.312160433584739,0.862416449707467,0.583258748484721,0.550973497905846,0.550973497905846
"70","security_4","~1","","",4.90828416171501,0.0804250617365295,4.75147904439872,5.06508863644861,4.90828416171501,3.36727244798842,3.36727244798842
"71","security_5","~1","","",4.93195276575549,0.08079933816382,4.77226365626028,5.09171594333685,4.93195276575549,3.35725163990939,3.35725163990939
"72","security_6","~1","","",5.02071018157971,0.0823944575662229,4.85798809348912,5.18631622707652,5.02071018157971,3.34635851591326,3.34635851591326
"73","institution_trust_5","~1","","",3.38051588182019,0.23178387216279,2.93987072073839,3.84851877238208,3.38051588182019,1.94955637175672,1.94955637175672
"74","gr_1","~1","","",0.5,0,0.5,0.5,0.5,1,0.5
"75","active_soc_media","~1","","",2.95266284194228,0.077783409154503,2.80473357785485,3.10946741056798,2.95266284194228,2.07069874408402,2.07069874408402
"76","needfreedom","~1","","",0,0,0,0,0,0,0
"77","likeMainstream","~1","","",0,0,0,0,0,0,0
"78","likeMicronarratives","~1","","",0,0,0,0,0,0,0
"79","dislikeMainstream","~1","","",0,0,0,0,0,0,0
"80","dislikeMicronarratives","~1","","",0,0,0,0,0,0,0
"81","traitneedfreedom","~1","","",0,0,0,0,0,0,0
"82","ind1",":=","a1*b1","ind1",-0.0372122143874905,0.0186906588618469,-0.0799138142362825,-0.00685961541359603,-0.05347423406872,-0.0308387942544884,-0.0308387942544884
"83","ind2",":=","a2*b2","ind2",-0.070731115584664,0.0287706476181819,-0.130114556199469,-0.0179761237292382,-0.101641149095053,-0.058616837423122,-0.058616837423122
"84","ind3",":=","a3*b3","ind3",-0.0110014057243743,0.0122390109883686,-0.0390285865667671,0.0101643974186534,-0.0158091033945002,-0.00911717008053626,-0.00911717008053626
"85","ind4",":=","a4*b4","ind4",-0.0216470015269932,0.015719743223269,-0.05788223435662,0.00570453248604277,-0.0311069052351129,-0.0179394706094661,-0.0179394706094661
"86","ind5",":=","c1*b1","ind5",-0.0334606276406214,0.0170647948959328,-0.0721844540307394,-0.0052717153140624,-0.0334606276406214,-0.0275159073461263,-0.00964843563826544
"87","ind6",":=","c2*b2","ind6",0.0524699070765382,0.0256971233359913,0.00394684724836693,0.105995074964715,0.0524699070765382,0.0431479384393002,0.015129797528339
"88","ind7",":=","c3*b3","ind7",0.00358398511363805,0.00688210566365488,-0.00737333029272625,0.0206193397259611,0.00358398511363805,0.00294724305162283,0.00103344892596868
"89","ind8",":=","c4*b4","ind8",-0.0011629271458269,0.00737416694747133,-0.0189049099703864,0.0124359384977124,-0.0011629271458269,-0.000956317853285602,-0.00033533225494195
