"","lhs","op","rhs","label","est","se","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","needfreedom","=~","security_freedom_4","",1,0,1,1,1.43602246255104,0.811100167523729,0.811100167523729
"2","needfreedom","=~","security_freedom_5","",1.1742933277008,0.0712222774844807,1.04760589250604,1.32857116550342,1.68631159620216,0.904140985366413,0.904140985366413
"3","needfreedom","=~","security_freedom_6","",1.14465212449208,0.0826513069108367,1.00401626944343,1.32705428043986,1.6437461625774,0.882937772774372,0.882937772774372
"4","Mainstream","=~","Nar_5correct","",1,0,1,1,1.43262885896025,0.80941501444124,0.80941501444124
"5","Mainstream","=~","nar_6correct","",0.921665201736603,0.0622744016283034,0.802944281251488,1.04996453347225,1.32040416630728,0.793365998695438,0.793365998695438
"6","Mainstream","=~","nar_7correct","",0.836061247050678,0.0671172274415688,0.710075706200668,0.972725615400238,1.1977654703831,0.671431260206826,0.671431260206826
"7","Mainstream","=~","nar_8correct","",0.896236994630827,0.0703321900730443,0.75937533614613,1.03788325692318,1.28397498297593,0.732067870860494,0.732067870860494
"8","Micronarratives","=~","nar_1","",1,0,1,1,1.0737274761337,0.635661446891917,0.635661446891917
"9","Micronarratives","=~","nar_2","",1.30874224777537,0.151677970256608,1.06143952772306,1.6628514844393,1.40523251061339,0.721448823992614,0.721448823992614
"10","Micronarratives","=~","nar_3","",1.36041067071876,0.156617802634819,1.10749710134733,1.72884239185088,1.4607103159762,0.763643990655215,0.763643990655215
"11","Micronarratives","=~","nar_4","",0.963743711647798,0.141597526181059,0.726085176176676,1.28116506257353,1.03479810314731,0.58198271319985,0.58198271319985
"12","traitneedfreedom","=~","security_4","",1,0,1,1,1.2383026064379,0.849522551192475,0.849522551192475
"13","traitneedfreedom","=~","security_5","",1.12024499414242,0.0469689629415797,1.03428801884572,1.21710797444045,1.38720229609558,0.944288048062524,0.944288048062524
"14","traitneedfreedom","=~","security_6","",1.11651730080395,0.0462566152055546,1.03046310068035,1.21479558744424,1.38258628371854,0.921508231420481,0.921508231420481
"15","institution_trust_5","~","Micronarratives","b1",-0.482230149517792,0.133478840500283,-0.758660774229025,-0.231066639226238,-0.517783761357314,-0.298593509847369,-0.298593509847369
"16","institution_trust_5","~","Mainstream","b2",0.558918790239365,0.100362226619714,0.362122951728784,0.76396771032352,0.800723188712067,0.461757909724636,0.461757909724636
"17","Micronarratives","~","needfreedom","a1",0.0949376771420314,0.0580500382288778,-0.0180119718433891,0.210074507310293,0.126971359072682,0.126971359072682,0.126971359072682
"18","Micronarratives","~","traitneedfreedom","",0.145073873279774,0.0637722172885686,0.0246461386227456,0.274320336092812,0.167310010595293,0.167310010595293,0.167310010595293
"19","Micronarratives","~","gr_1","",-0.0235708291749596,0.134524260204174,-0.296515754122357,0.230824389500236,-0.0219523386509899,-0.010976169325495,-0.0219523386509899
"20","Mainstream","~","needfreedom","a2",-0.204057840831888,0.0720485499167248,-0.350132181575575,-0.0675733141236034,-0.204541211955571,-0.204541211955571,-0.204541211955571
"21","Mainstream","~","traitneedfreedom","",0.283730215632114,0.0728932305982468,0.144636764620823,0.43159107947772,0.245244163095686,0.245244163095686,0.245244163095686
"22","Mainstream","~","gr_1","",-0.0342627902071897,0.170872705365696,-0.379668842721727,0.295156963283639,-0.0239160268152467,-0.0119580134076233,-0.0239160268152467
"23","needfreedom","~","gr_1","",0.619493730561988,0.159433215882892,0.306388524853357,0.932149581618945,0.431395571251357,0.215697785625679,0.431395571251357
"24","institution_trust_5","~","gr_1","",-0.0420518236259116,0.178661545606751,-0.399524565718051,0.299077467018553,-0.0420518236259116,-0.0121251404051647,-0.0242502808103294
"25","institution_trust_5","~","needfreedom","",-0.126954997587857,0.0810332385731751,-0.285176701807094,0.0326997119757175,-0.182310228269276,-0.10513394780342,-0.10513394780342
"26","needfreedom","~~","traitneedfreedom","",0.0589034479906499,0.109485174394075,-0.156703954291009,0.269196444397615,0.0339233055249487,0.0339233055249487,0.0339233055249487
"27","Mainstream","~~","Micronarratives","",0.769684201092169,0.163584939442524,0.456076496260398,1.08530537687031,0.539680371837996,0.539680371837996,0.539680371837996
"28","security_freedom_4","~~","security_freedom_4","",1.07237709155551,0.195828949094732,0.698704968239637,1.45071823822764,1.07237709155551,0.342116518242979,0.342116518242979
"29","security_freedom_5","~~","security_freedom_5","",0.634943967447517,0.20192534688949,0.266049157174568,1.05949818412867,0.634943967447517,0.182529078580652,0.182529078580652
"30","security_freedom_6","~~","security_freedom_6","",0.763944944069097,0.162771780070239,0.455131490989424,1.09549871166238,0.763944944069097,0.220420889408231,0.220420889408231
"31","Nar_5correct","~~","Nar_5correct","",1.08031834683397,0.163441238645121,0.764686079094439,1.41114191550349,1.08031834683397,0.344847334397088,0.344847334397088
