"","lhs","op","rhs","label","est","se","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","stateneedsecurity","=~","security_freedom_1","",1,0,1,1,1.67557690627732,0.923963678789752,0.923963678789752
"2","stateneedsecurity","=~","security_freedom_2","",0.888533768355958,0.0454815010062838,0.795030448691004,0.975436573118937,1.48880666270481,0.853073892495827,0.853073892495827
"3","stateneedsecurity","=~","security_freedom_3","",0.984920312577302,0.0448021830357323,0.894407021885189,1.07268316980564,1.65030973027797,0.887364794613822,0.887364794613822
"4","Mainstream","=~","nar5_end","",1,0,1,1,1.29178381384927,0.723042955025347,0.723042955025347
"5","Mainstream","=~","nar6_end","",0.873400410306208,0.142091487378484,0.581233397234669,1.14658406310921,1.12824451304287,0.697416996094667,0.697416996094667
"6","Mainstream","=~","nar7_end","",0.779997881319338,0.137271862764592,0.495037607386511,1.04657578934025,1.00758863792504,0.559078149095425,0.559078149095425
"7","Mainstream","=~","nar8_end","",0.616089205474877,0.108154497055503,0.392368286139707,0.817526291623913,0.795854063519703,0.51435615994648,0.51435615994648
"8","Micronarratives","=~","nar1_end","",1,0,1,1,0.814563935161928,0.490717533616296,0.490717533616296
"9","Micronarratives","=~","nar2_end","",1.86788713285568,0.489129184620031,1.31440874502745,3.11708499175224,1.52151349337725,0.779511266152289,0.779511266152289
"10","Micronarratives","=~","nar3_end","",1.50920670955764,0.245688764998062,1.11160606207768,2.06426604440576,1.22934535631005,0.63369438382792,0.63369438382792
"11","Micronarratives","=~","nar4_end","",1.06501974173123,0.203203859783725,0.735792176145715,1.52737338695332,0.867526671849728,0.517152241733353,0.517152241733353
"12","traitneedsecurity","=~","security_1","",1,0,1,1,1.15992571343474,0.772360249104238,0.772360249104238
"13","traitneedsecurity","=~","security_2","",0.754660317808733,0.112073228474296,0.556574458688845,0.99303864900214,0.875349907535181,0.623499925324969,0.623499925324969
"14","traitneedsecurity","=~","security_3","",0.90846539854871,0.101823028944422,0.724533981092843,1.12155633288164,1.05375237554239,0.703011729393405,0.703011729393405
"15","Micronarratives","~","stateneedsecurity","b1",0.163442675931894,0.0422069737946668,0.0820220928062449,0.246280226013112,0.336205375011121,0.336205375011121,0.336205375011121
"16","Micronarratives","~","traitneedsecurity","",0.0711107349623927,0.0642276914823502,-0.0423142571176515,0.208930616701246,0.101260522868257,0.101260522868257,0.101260522868257
"17","Mainstream","~","stateneedsecurity","b2",-0.188023029292447,0.0661537589896978,-0.323632802156763,-0.0668139466078257,-0.243885271167743,-0.243885271167743,-0.243885271167743
"18","Mainstream","~","traitneedsecurity","",0.261591231144831,0.100590454826625,0.05975737866854,0.45200650538203,0.234889454536349,0.234889454536349,0.234889454536349
"19","stateneedsecurity","~","gr_1","a1",0.812687989225142,0.182325594686435,0.446886282836528,1.16341708496573,0.485019807912436,0.242509903956218,0.485019807912436
"20","Micronarratives","~","gr_1","",-0.0662431448104639,0.113990722228212,-0.298962034134907,0.14565190502281,-0.0813234443006556,-0.0406617221503278,-0.0813234443006556
"21","Mainstream","~","gr_1","",0.118810706514739,0.167771955310831,-0.210550144230109,0.453787746107246,0.0919741409057494,0.0459870704528747,0.0919741409057494
"22","stateneedsecurity","~~","traitneedsecurity","",0.264626519103538,0.134301100920594,-0.00791720864544191,0.521837250175031,0.140346120750494,0.140346120750494,0.140346120750494
"23","Mainstream","~~","Micronarratives","",-0.193205986243502,0.128726787485846,-0.490443332400042,0.0293384132260292,-0.206725295558,-0.206725295558,-0.206725295558
"24","security_freedom_1","~~","security_freedom_1","",0.481101708394956,0.134467193021809,0.236149366042455,0.756944303643689,0.481101708394956,0.146291120277307,0.146291120277307
"25","security_freedom_2","~~","security_freedom_2","",0.82926820774498,0.186200998006601,0.480491270942987,1.21588446715522,0.82926820774498,0.272264933942018,0.272264933942018
"26","security_freedom_3","~~","security_freedom_3","",0.735286405875939,0.141712313200678,0.473894570822088,1.03164912459936,0.735286405875939,0.21258372127997,0.21258372127997
"27","nar5_end","~~","nar5_end","",1.52321076515357,0.308469048953218,0.764605778863577,1.98782994784232,1.52321076515357,0.477208885188215,0.477208885188215
"28","nar6_end","~~","nar6_end","",1.34417088036205,0.227309421801871,0.932856627137947,1.82748476760602,1.34417088036205,0.513609533558291,0.513609533558291
"29","nar7_end","~~","nar7_end","",2.23280600919673,0.272816456317232,1.7001823969365,2.77096461752661,2.23280600919673,0.687431623204033,0.687431623204033
"30","nar8_end","~~","nar8_end","",1.76069811155954,0.194306074412788,1.38527033426263,2.1387786974328,1.76069811155954,0.735437740725111,0.735437740725111
"31","nar1_end","~~","nar1_end","",2.09190177282915,0.229685629410735,1.63448484441496,2.53004640475405,2.09190177282915,0.75919630220154,0.75919630220154
"32","nar2_end","~~","nar2_end","",1.49483744817457,0.45989597988621,0.389910303005917,2.16626490883633,1.49483744817457,0.392362185941656,0.392362185941656
"33","nar3_end","~~","nar3_end","",2.25217683495685,0.321728179461479,1.67329963258337,2.94622226902676,2.25217683495685,0.598431427904953,0.598431427904953
"34","nar4_end","~~","nar4_end","",2.06142828739258,0.223127805204515,1.61860990463885,2.48692628074451,2.06142828739258,0.732553558870168,0.732553558870168
"35","security_1","~~","security_1","",0.909956490228448,0.205717475838381,0.482298443582601,1.30007978609466,0.909956490228448,0.40345964560364,0.40345964560364
"36","security_2","~~","security_2","",1.20478044130041,0.136423357964666,0.915352024922199,1.46185554175259,1.20478044130041,0.611247843119758,0.611247843119758
"37","security_3","~~","security_3","",1.13634165731843,0.161837566091867,0.821783367668309,1.4531987297602,1.13634165731843,0.505774508335294,0.505774508335294
"38","stateneedsecurity","~~","stateneedsecurity","",2.64244252689219,0.210937937804858,2.22810855078378,3.05938631096798,0.941188946483146,0.941188946483146,0.941188946483146
"39","Mainstream","~~","Mainstream","",1.50896298997342,0.332270600234196,0.972158192169667,2.28065691890642,0.904271640955896,0.904271640955896,0.904271640955896
"40","Micronarratives","~~","Micronarratives","",0.578862379641071,0.180859882276818,0.261071318045532,0.963213072784318,0.872418708236664,0.872418708236664,0.872418708236664
"41","traitneedsecurity","~~","traitneedsecurity","",1.34542766068709,0.215992581804343,0.956342146945844,1.80112320799949,1,1,1
"42","gr_1","~~","gr_1","",0.25,0,0.25,0.25,0.25,1,0.25
"43","security_freedom_1","~1","","",4.54927735228838,0.134596728491116,4.28566182021325,4.81132014269756,4.54927735228838,2.50860883944385,2.50860883944385
"44","security_freedom_2","~1","","",4.72474850971775,0.125326040000512,4.48305766994926,4.9702463920033,4.72474850971775,2.70724178176783,2.70724178176783
"45","security_freedom_3","~1","","",4.41043446623907,0.136116275563413,4.14682031571807,4.68129689744813,4.41043446623907,2.37147258026089,2.37147258026089
"46","nar5_end","~1","","",4.00220372888981,0.125256456636436,3.75578143286841,4.24786199583123,4.00220372888981,2.24013118892323,2.24013118892323
"47","nar6_end","~1","","",4.83141295060657,0.111741588066196,4.60690291269089,5.04641708095824,4.83141295060657,2.98650644248857,2.98650644248857
"48","nar7_end","~1","","",4.67302067617672,0.116338475499488,4.44093559349584,4.89758768103777,4.67302067617672,2.59290711703707,2.59290711703707
"49","nar8_end","~1","","",4.67615194427584,0.0951303406016307,4.48490392017247,4.86174224283388,4.67615194427584,3.02217161114544,3.02217161114544
"50","nar1_end","~1","","",4.36907452433454,0.104195204078137,4.17079099568665,4.57275654108267,4.36907452433454,2.63206039724927,2.63206039724927
"51","nar2_end","~1","","",4.38455917622009,0.158150905199936,4.05188541304185,4.67130175519825,4.38455917622009,2.24632465623985,2.24632465623985
"52","nar3_end","~1","","",3.89354194825455,0.132314045318395,3.64223887201608,4.15353399009741,3.89354194825455,2.00701589113502,2.00701589113502
"53","nar4_end","~1","","",4.56513468719124,0.108822289742215,4.35020384116023,4.77940581734268,4.56513468719124,2.72137988825384,2.72137988825384
"54","security_1","~1","","",4.79881656931737,0.0814461781560933,4.63616896410496,4.95850563808828,4.79881656931737,3.19539011675858,3.19539011675858
"55","security_2","~1","","",5.52958583016328,0.0759535150365084,5.37573954765093,5.67455613167297,5.52958583016328,3.93864935896648,3.93864935896648
"56","security_3","~1","","",4.35502962165003,0.0803810805585045,4.1952661896578,4.5118343344271,4.35502962165003,2.9054614508459,2.9054614508459
"57","gr_1","~1","","",0.5,0,0.5,0.5,0.5,1,0.5
"58","stateneedsecurity","~1","","",0,0,0,0,0,0,0
"59","Mainstream","~1","","",0,0,0,0,0,0,0
"60","Micronarratives","~1","","",0,0,0,0,0,0,0
"61","traitneedsecurity","~1","","",0,0,0,0,0,0,0
"62","ind1",":=","a1*b1","ind1",0.132827899656668,0.0455965914242044,0.052029026622416,0.230463972525203,0.163066266407022,0.0815331332035112,0.163066266407022
"63","ind2",":=","a1*b2","ind2",-0.152804057603699,0.061900025619605,-0.289342350546008,-0.0462690510150967,-0.118289187374451,-0.0591445936872254,-0.118289187374451
