"","lhs","op","rhs","label","est","se","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","needsecurity","=~","security_freedom_1","",1,0,1,1,1.6786218691985,0.925868769686198,0.925868769686198
"2","needsecurity","=~","security_freedom_2","",0.88851427444705,0.0463290820829264,0.79324193856841,0.977570682302666,1.49147949218185,0.854784463511849,0.854784463511849
"3","needsecurity","=~","security_freedom_3","",0.97892341392734,0.0443937592007616,0.890887010463943,1.06492049760754,1.64324225088889,0.883767838401292,0.883767838401292
"4","Mainstream","=~","Nar_5correct","",1,0,1,1,1.42996631249623,0.807790848130041,0.807790848130041
"5","Mainstream","=~","nar_6correct","",0.923767798232376,0.0653775482091826,0.798887049949303,1.05572729880128,1.32095683204111,0.793581352390711,0.793581352390711
"6","Mainstream","=~","nar_7correct","",0.837123508779994,0.0696362068711074,0.704668609612408,0.981220827367347,1.19705841695403,0.670963664705745,0.670963664705745
"7","Mainstream","=~","nar_8correct","",0.898581238110445,0.0734777705364637,0.756053091222917,1.04743349061067,1.28494089953909,0.732527161245339,0.732527161245339
"8","Micronarratives","=~","nar_1","",1,0,1,1,1.07615372885671,0.637108988522674,0.637108988522674
"9","Micronarratives","=~","nar_2","",1.29587224977393,0.149158723519252,1.0471079234938,1.63770272641906,1.39455775371615,0.715986147705254,0.715986147705254
"10","Micronarratives","=~","nar_3","",1.36329526704593,0.157466803593532,1.11285548330627,1.73690497631266,1.46711528516418,0.767013086280903,0.767013086280903
"11","Micronarratives","=~","nar_4","",0.962746739422903,0.141954002288349,0.722968854488335,1.28565288615865,1.03606349357459,0.582702005844529,0.582702005844529
"12","traitneedsecurity","=~","security_1","",1,0,1,1,1.16365262492157,0.77484189475858,0.77484189475858
"13","traitneedsecurity","=~","security_2","",0.743176490574198,0.116832677265013,0.538304619849669,0.996450136135222,0.864799274036666,0.615986152704672,0.615986152704672
"14","traitneedsecurity","=~","security_3","",0.910750428610882,0.113048605697852,0.711577104634898,1.1547530761365,1.0597971269015,0.707044019847672,0.707044019847672
"15","ssectsec","=~","security_freedom_1.security_1","",1,0,1,1,2.69753704300388,0.920023905410368,0.920023905410368
