"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","stateneedsecurity","=~","security_freedom_1","",1,0,NA,NA,1,1,1.6757573384361,0.924063406562385,0.924063406562385
"2","stateneedsecurity","=~","security_freedom_2","",0.888486516798131,0.0455703741451614,19.4970204538571,0,0.795185184123186,0.975537889793496,1.488887800626,0.853120532976493,0.853120532976493
"3","stateneedsecurity","=~","security_freedom_3","",0.984654963395959,0.044796068234808,21.9808345284832,0,0.895984507065762,1.0723431405189,1.65004278073831,0.887221650991402,0.887221650991402
"4","Mainstream","=~","nar5_end","",1,0,NA,NA,1,1,1.3679517807118,0.765675959727541,0.765675959727541
"5","Mainstream","=~","nar6_end","",0.78715637409353,0.123855998175902,6.35541585136315,2.07863504186889e-10,0.557062570318495,1.0433501919512,1.07679196363988,0.665608465516096,0.665608465516096
"6","Mainstream","=~","nar7_end","",0.72764531342073,0.128689614839063,5.65426599753764,1.56513666471625e-08,0.48539742383668,0.992426976133462,0.99538370222048,0.55230521354308,0.55230521354308
"7","Mainstream","=~","nar8_end","",0.560990826799899,0.0990799532766842,5.66200132566991,1.49617669364943e-08,0.371360395048721,0.758402904339582,0.767408400483905,0.495970618738134,0.495970618738134
"8","Micronarratives","=~","nar1_end","",1,0,NA,NA,1,1,0.80367818854786,0.484159332972171,0.484159332972171
"9","Micronarratives","=~","nar2_end","",1.89819426525762,0.440627768605474,4.30793154790299,1.64788363483659e-05,1.35810591585551,2.98455902078557,1.52553732861418,0.781568194143282,0.781568194143282
"10","Micronarratives","=~","nar3_end","",1.53037919651018,0.247565912410758,6.181704022204,6.34133412447113e-10,1.13122569049934,2.0818190055513,1.22993238044263,0.633994583943291,0.633994583943291
"11","Micronarratives","=~","nar4_end","",1.08003103086192,0.202995679042478,5.320463154469,1.03503410731065e-07,0.746838855856951,1.54633652081579,0.867997382458584,0.517431670931339,0.517431670931339
"12","traitneedsecurity","=~","security_1","",1,0,NA,NA,1,1,1.16532615435612,0.775956636442573,0.775956636442573
"13","traitneedsecurity","=~","security_2","",0.747231520544067,0.110756003257474,6.74664576697465,1.51301193795916e-11,0.550995709504123,0.985251458459054,0.870768434249292,0.620236824065397,0.620236824065397
"14","traitneedsecurity","=~","security_3","",0.903190012577663,0.103713251569698,8.70853048099354,0,0.717022403037007,1.11986330928227,1.05251094400998,0.702183807640373,0.702183807640373
"15","institution_trust_5","~","Micronarratives","b1",-0.551374478010583,0.174145398899398,-3.16617310302357,0.00154458846560446,-0.921263189173549,-0.230107906206141,-0.443127641699067,-0.255536771794647,-0.255536771794647
"16","institution_trust_5","~","Mainstream","b2",0.532100264559297,0.0872692932923512,6.09722210969174,1.07927511372452e-09,0.36068890114349,0.704500064955492,0.727887504421109,0.419748184510115,0.419748184510115
"17","Micronarratives","~","stateneedsecurity","a1",0.160951029474951,0.0414634280216258,3.88175886931019,0.000103703679858347,0.0829251176270228,0.244105695582894,0.335600583187199,0.335600583187199,0.335600583187199
"18","Micronarratives","~","traitneedsecurity","",0.0748028279341922,0.063107387579838,1.1853260102006,0.23588857336335,-0.0370738284988918,0.208871491539556,0.108463428588274,0.108463428588274,0.108463428588274
"19","Mainstream","~","stateneedsecurity","a2",-0.202914547781877,0.0672362403144878,-3.01793418003109,0.00254504175172121,-0.335592536045161,-0.0733243287725015,-0.248572754767708,-0.248572754767708,-0.248572754767708
"20","Mainstream","~","traitneedsecurity","",0.242573669274687,0.101744019682436,2.38415653354181,0.0171183192139044,0.0388340645143242,0.437260698991382,0.206642840156863,0.206642840156863,0.206642840156863
"21","Micronarratives","~","gr_1","",-0.063533720583716,0.111372300998966,-0.570462493940083,0.56836405356779,-0.294780803348234,0.143120730641477,-0.0790536827912588,-0.0395268413956294,-0.0790536827912588
"22","Mainstream","~","gr_1","",0.128632840789366,0.175660842079422,0.732279540884852,0.463997964148465,-0.217252653667256,0.484530636940941,0.0940331688609912,0.0470165844304956,0.0940331688609912
"23","stateneedsecurity","~","gr_1","",0.812790311907913,0.182344715300378,4.45743826778307,8.29449123562753e-06,0.446973780142438,1.16397804004675,0.485028645416196,0.242514322708098,0.485028645416196
"24","institution_trust_5","~","gr_1","",-0.178164534743102,0.179604217507544,-0.991984137207798,0.321205263551656,-0.533198718185662,0.166181080095865,-0.178164534743102,-0.0513707403604783,-0.102741480720957
"25","institution_trust_5","~","stateneedsecurity","",0.00759261652172972,0.0727382616771026,0.104382705149521,0.91686564699253,-0.13839629839314,0.14959785458282,0.0127233828542198,0.00733714594830595,0.00733714594830595
"26","Mainstream","~~","Micronarratives","",-0.225535320658834,0.129333780968714,-1.74382376336304,0.0811898254486134,-0.502333321659847,0.0134650582763209,-0.23011339725606,-0.23011339725606,-0.23011339725606
"27","stateneedsecurity","~~","traitneedsecurity","",0.263903882871099,0.135076462562778,1.95373700098526,0.0507323280774663,-0.0102039405393387,0.522354357911811,0.139299398731049,0.139299398731049,0.139299398731049
"28","security_freedom_1","~~","security_freedom_1","",0.48049536834267,0.135199129880707,3.55398269771881,0.000379444176047627,0.235129870036507,0.759765280045475,0.48049536834267,0.146106820652321,0.146106820652321
"29","security_freedom_2","~~","security_freedom_2","",0.829025539003812,0.186238004026664,4.45143054091751,8.53001246636786e-06,0.480186534633298,1.21572231912451,0.829025539003812,0.272185356213905,0.272185356213905
"30","security_freedom_3","~~","security_freedom_3","",0.736164361046266,0.141727910610106,5.19420880387814,2.05592292967793e-07,0.473034179516524,1.03205201190326,0.736164361046266,0.212837742012091,0.212837742012091
"31","nar5_end","~~","nar5_end","",1.3206246703562,0.279113778958053,4.73149220825344,2.22875374200626e-06,0.712838476927206,1.81017685151904,1.3206246703562,0.413740324695309,0.413740324695309
"32","nar6_end","~~","nar6_end","",1.45765293446959,0.214821431373999,6.7854167302882,1.15751852547419e-11,1.04696857342302,1.88121061318348,1.45765293446959,0.556965370633308,0.556965370633308
"33","nar7_end","~~","nar7_end","",2.25726173035691,0.273311038412782,8.258948279095,2.22044604925031e-16,1.71781817951867,2.78081033428282,2.25726173035691,0.694958951093133,0.694958951093133
"34","nar8_end","~~","nar8_end","",1.80517834822155,0.184595801093883,9.77908672637393,0,1.44049475696195,2.16619971274836,1.80517834822155,0.754013145348513,0.754013145348513
"35","nar1_end","~~","nar1_end","",2.10952099791124,0.22243486097393,9.48376971430966,0,1.6590771438704,2.52990046025997,2.10952099791124,0.765589740295942,0.765589740295942
"36","nar2_end","~~","nar2_end","",1.48262135049272,0.410606925424148,3.61080454003838,0.000305248646540246,0.52576566120947,2.12891104239392,1.48262135049272,0.389151157903609,0.389151157903609
"37","nar3_end","~~","nar3_end","",2.25076161359891,0.304273213400198,7.39717304867904,1.39221967287995e-13,1.67679644044045,2.89148686340872,2.25076161359891,0.598050867530573,0.598050867530573
"38","nar4_end","~~","nar4_end","",2.06062410586063,0.220717877172559,9.3360090820809,0,1.61390859548222,2.48231042682614,2.06062410586063,0.732264465917202,0.732264465917202
"39","security_1","~~","security_1","",0.897396818293489,0.206729140191194,4.34093044388193,1.4188063486742e-05,0.467525208813274,1.28981887541463,0.897396818293489,0.397891298360729,0.397891298360729
"40","security_2","~~","security_2","",1.2127788354878,0.134427034183979,9.02183733242203,0,0.929629661244549,1.46762690358292,1.2127788354878,0.615306282073269,0.615306282073269
"41","security_3","~~","security_3","",1.13895451748124,0.162252626654003,7.01963685253624,2.22444285213896e-12,0.822045304082552,1.45377378061758,1.13895451748124,0.506937900287667,0.506937900287667
"42","institution_trust_5","~~","institution_trust_5","",2.11089079861172,0.178161422942843,11.8481922951914,0,1.73389073278954,2.4320524270161,2.11089079861172,0.701964083525429,0.701964083525429
"43","stateneedsecurity","~~","stateneedsecurity","",2.6430056345396,0.211041741360711,12.5236155534852,0,2.22830992124221,3.05979251522877,0.941186803281432,0.941186803281432,0.941186803281432
"44","Mainstream","~~","Mainstream","",1.70821188882825,0.315388545787958,5.41621410048516,6.08742030117071e-08,1.13538295811559,2.37346716031166,0.912851559754109,0.912851559754109,0.912851559754109
"45","Micronarratives","~~","Micronarratives","",0.562345964280384,0.172454346281946,3.26083961584246,0.00111082852641076,0.265228130683969,0.939652539819878,0.870641208248916,0.870641208248916,0.870641208248916
"46","traitneedsecurity","~~","traitneedsecurity","",1.35798504602642,0.217758979033566,6.23618393167196,4.48373782546696e-10,0.96519707050161,1.82049216472018,1,1,1
"47","gr_1","~~","gr_1","",0.25,0,NA,NA,0.25,0.25,0.25,1,0.25
"48","security_freedom_1","~1","","",4.54922612679581,0.134601361021655,33.7977721195844,0,4.28574848523506,4.81081968438163,4.54922612679581,2.50858122207163,2.50858122207163
"49","security_freedom_2","~1","","",4.72472217774709,0.125326456600755,37.699319887407,0,4.4827763864895,4.97009851793438,4.72472217774709,2.70722716698379,2.70722716698379
"50","security_freedom_3","~1","","",4.41049178225211,0.136120626679626,32.4013479061674,0,4.1467675493019,4.68212337709934,4.41049178225211,2.37150445213476,2.37150445213476
"51","nar5_end","~1","","",4.00335414838488,0.127882001003848,31.3050633940614,0,3.75042514308629,4.25430860234027,4.00335414838488,2.24077491101247,2.24077491101247
"52","nar6_end","~1","","",4.83085262954663,0.109278365820519,44.2068527770714,0,4.61268116005544,5.04227889885056,4.83085262954663,2.9861445055902,2.9861445055902
"53","nar7_end","~1","","",4.67296799093093,0.115987883429439,40.2884150720253,0,4.44252296462104,4.8968134746405,4.67296799093093,2.59287406289018,2.59287406289018
"54","nar8_end","~1","","",4.67586084755447,0.0942195460927375,49.6272911668685,0,4.4873306134534,4.85765317113628,4.67586084755447,3.02197577747736,3.02197577747736
"55","nar1_end","~1","","",4.36872412877539,0.103612663564879,42.1639978981898,0,4.17144090014222,4.57211880040725,4.36872412877539,2.63184766025458,2.63184766025458
"56","nar2_end","~1","","",4.38288495562915,0.156342386634412,28.0338879940346,0,4.05994469323672,4.67293614268323,4.38288495562915,2.24545372679975,2.24545372679975
"57","nar3_end","~1","","",3.89230062352556,0.13245453210413,29.3859376624848,0,3.64096792303091,4.15554113624428,3.89230062352556,2.00636844239048,2.00636844239048
"58","nar4_end","~1","","",4.56425631572868,0.108655314057507,42.0067472568623,0,4.35006273388232,4.77736158363205,4.56425631572868,2.72085010823071,2.72085010823071
"59","security_1","~1","","",4.79881662642497,0.0814461740794655,58.9200988341436,0,4.63616902686679,4.95850503782891,4.79881662642497,3.1953917745911,3.1953917745911
"60","security_2","~1","","",5.52958563515093,0.0759535161122786,72.8022337633034,0,5.3757393590708,5.67455620097657,5.52958563515093,3.93865061920904,3.93865061920904
"61","security_3","~1","","",4.35502953816966,0.0803810819640813,54.179782502999,0,4.19526620067522,4.51183418573453,4.35502953816966,2.90546263761155,2.90546263761155
"62","institution_trust_5","~1","","",3.53727941950137,0.131147246223941,26.9718161939999,0,3.28410413785841,3.80011968616288,3.53727941950137,2.0398297888374,2.0398297888374
"63","gr_1","~1","","",0.5,0,NA,NA,0.5,0.5,0.5,1,0.5
"64","stateneedsecurity","~1","","",0,0,NA,NA,0,0,0,0,0
"65","Mainstream","~1","","",0,0,NA,NA,0,0,0,0,0
"66","Micronarratives","~1","","",0,0,NA,NA,0,0,0,0,0
"67","traitneedsecurity","~1","","",0,0,NA,NA,0,0,0,0,0
"68","ind1",":=","a1*b1","ind1",-0.0887442898620169,0.0324969343724043,-2.73085112721822,0.0063171000288238,-0.156614564222444,-0.0310411702782409,-0.148713894980575,-0.085758289640058,-0.085758289640058
"69","ind2",":=","a2*b2","ind2",-0.107970884557667,0.0391422251427076,-2.75842479991924,0.00580806668300626,-0.19254291018945,-0.0369558168306873,-0.180933002134947,-0.104337962532424,-0.104337962532424
