"";"ssec ";"sfree ";"tsec ";"tfree ";"institution_trust_5 ";"active_soc_media ";"finan ";"micronarratives ";"mainstream ";"micronarratives_ag ";"mainstream_ag ";"mainstreamlikes ";"microlikes ";"mainstreamdislikes ";"microdislikes ";"man_eff ";"man_acc "
"ssec";" 1.000   ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"sfree";" 0.799***";" 1.000   ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"tsec";"-0.031   ";"-0.042   ";" 1.000   ";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"tfree";"-0.071   ";"-0.066   ";" 0.678***";" 1.000   ";"";"";"";"";"";"";"";"";"";"";"";"";""
"institution_trust_5";"-0.135   ";"-0.198** ";" 0.092   ";" 0.103   ";" 1.000   ";"";"";"";"";"";"";"";"";"";"";"";""
"active_soc_media";" 0.191*  ";" 0.117   ";" 0.059   ";" 0.034   ";" 0.009   ";" 1.000   ";"";"";"";"";"";"";"";"";"";"";""
"finan";"-0.190*  ";"-0.146   ";"-0.156*  ";"-0.014   ";" 0.250***";"-0.110   ";" 1.000   ";"";"";"";"";"";"";"";"";"";""
"micronarratives";"-0.048   ";" 0.041   ";" 0.118   ";" 0.202** ";"-0.010   ";" 0.165*  ";" 0.167*  ";" 1.000   ";"";"";"";"";"";"";"";"";""
"mainstream";"-0.210** ";"-0.137   ";" 0.200** ";" 0.245***";" 0.342***";" 0.161*  ";" 0.121   ";" 0.573***";" 1.000   ";"";"";"";"";"";"";"";""
"micronarratives_ag";"-0.075   ";"-0.010   ";"-0.003   ";" 0.122   ";"-0.074   ";" 0.009   ";" 0.162*  ";" 0.652***";" 0.257***";" 1.000   ";"";"";"";"";"";"";""
"mainstream_ag";"-0.241** ";"-0.195** ";" 0.210** ";" 0.224** ";" 0.376***";" 0.030   ";" 0.205** ";" 0.331***";" 0.794***";" 0.206** ";" 1.000   ";"";"";"";"";"";""
"mainstreamlikes";"-0.098   ";"-0.097   ";" 0.173*  ";" 0.115   ";" 0.093   ";" 0.077   ";"-0.017   ";" 0.184*  ";" 0.403***";" 0.051   ";" 0.473***";" 1.000   ";"";"";"";"";""
"microlikes";" 0.108   ";" 0.180*  ";" 0.044   ";" 0.070   ";"-0.311***";" 0.056   ";" 0.015   ";" 0.305***";"-0.010   ";" 0.338***";"-0.150*  ";" 0.167*  ";" 1.000   ";"";"";"";""
"mainstreamdislikes";" 0.123   ";" 0.158*  ";"-0.138   ";"-0.081   ";"-0.201** ";"-0.064   ";"-0.157*  ";"-0.064   ";"-0.450***";"-0.013   ";"-0.558***";"-0.413***";" 0.227** ";" 1.000   ";"";"";""
"microdislikes";" 0.042   ";" 0.073   ";"-0.007   ";"-0.105   ";" 0.100   ";"-0.013   ";"-0.132   ";"-0.095   ";" 0.014   ";"-0.216** ";"-0.002   ";" 0.149*  ";"-0.240** ";" 0.234** ";" 1.000   ";"";""
"man_eff";"-0.128   ";"-0.252***";" 0.150*  ";" 0.104   ";" 0.167*  ";" 0.153*  ";" 0.149*  ";" 0.258***";" 0.310***";" 0.143   ";" 0.363***";" 0.129   ";"-0.076   ";"-0.207** ";" 0.005   ";" 1.000   ";""
"man_acc";"-0.366***";"-0.447***";" 0.144   ";" 0.068   ";" 0.258***";" 0.016   ";" 0.162*  ";" 0.209** ";" 0.395***";" 0.162*  ";" 0.390***";" 0.212** ";"-0.071   ";"-0.260***";"-0.032   ";" 0.565***";" 1.000   "
