"","security_freedom_1","security_freedom_2","security_freedom_3","security_freedom_4","security_freedom_5","security_freedom_6","security_freedom_7","institution_trust_5","gr_1","nar1_t","nar2_t","nar3_t","nar4_t","nar5_t","nar6_t","nar7_t","nar8_t"
"1",6,6,6,5,6,5,6,2,1,5,5,5,5.5,4.5,4.5,5.5,5
"2",4,4,4,3,4,5,4,5,1,1.5,1,1,2,1,2.5,1,1
"3",7,7,7,7,7,7,7,1,1,5,4,4,2.5,2.5,2.5,1.5,1.5
"4",7,7,7,6,7,7,7,5,0,2,1,4,3.5,5,4,4.5,4.5
"5",5,5,5,5,6,7,7,1,1,5,5.5,5.5,5.5,4.5,4,6.5,3
"6",4,4,4,4,4,4,4,6,1,5,5.5,6,5.5,7,5.5,5,7
"7",2,1,1,1,1,1,1,5,0,4.5,5,3,4.5,3,1.5,5,3
"8",2,3,1,1,1,4,5,6,1,7,7,6,4.5,7,7,7,7
"9",2,4,4,2,2,1,1,5,0,4,1,1,4,6,6,5.5,3
"10",7,6,6,6,6,6,6,2,1,4,5,4,7,5.5,6.5,6,6.5
"11",3,3,3,5,7,5,5,2,0,2,3.5,4,3.5,2,4.5,3.5,2
"12",5,5,3,3,7,3,7,6,1,4.5,4,4,5,5,7,7,7
"13",5,5,4,6,4,5,5,4,0,7,3,5.5,3.5,5,5,7,4.5
"14",6,6,5,6,6,6,7,1,0,3.5,5,3.5,4.5,1,1.5,1,3.5
"15",7,7,7,7,7,7,7,1,1,6.5,7,1,1,1,4,3.5,1
"16",2,2,1,1,1,1,1,6,0,7,4,7,7,7,7,7,7
"17",3,3,1,2,3,3,2,2,0,3,3.5,1.5,2.5,3.5,4.5,2,4.5
"18",5,5,6,4,4,5,4,4,1,5.5,3.5,3.5,4,3,4.5,5.5,4.5
"19",4,2,1,1,1,1,1,5,1,3.5,3,1.5,2.5,2,2,3.5,4
"20",7,7,6,7,7,5,6,5,1,4,3.5,3.5,4,5.5,5.5,6,4
"21",2,4,2,3,5,5,4,4,1,6,3.5,2.5,1.5,6,6.5,4,5.5
"22",4,5,5,6,6,6,7,6,1,2,1,1,4,4.5,4,2,4.5
"23",6,7,5,6,6,6,7,2,0,4,3.5,3.5,4,5.5,5,6.5,5
"24",6,6,6,5,6,6,6,4,1,4.5,6,4.5,6,5,7,5,6
"25",7,6,5,6,6,6,7,5,1,5,4.5,5,4,5.5,6,6,6.5
"26",7,7,7,7,7,7,7,2,1,3.5,3.5,1.5,3.5,3.5,3.5,4,3.5
"27",4,5,3,5,3,4,5,1,0,1,1,1,1,2,1,1,1
"28",6,6,6,6,6,7,7,3,1,3.5,4,4,5.5,3,5,5,5
"29",1,3,1,4,4,1,3,1,0,3,1,2,1,2,5,5.5,6
"30",7,6,7,6,7,7,7,3,1,5,2.5,2,6,4.5,6,3.5,4.5
